season,date,visitor,home,visitor_score,home_score
2020,20200806,MIA,BAL,8,7
2020,20200806,MIL,CWS,8,3
2020,20200806,CIN,CLE,0,13
2020,20200806,CHC,KC,2,13
2020,20200806,TEX,OAK,4,6
2020,20200806,LAA,SEA,6,1
2020,20200807,SF,LAD,2,7
2020,20200807,CIN,MIL,8,3
2020,20200807,MIA,NYM,4,3
2020,20200807,DET,PIT,17,13
2020,20200807,ARI,SD,0,3
2020,20200807,BAL,WSH,11,0
2020,20200807,TOR,BOS,3,5
2020,20200807,CLE,CWS,0,2
2020,20200807,MIN,KC,2,3
2020,20200807,HOU,OAK,2,3
2020,20200807,COL,SEA,8,4
2020,20200807,NYY,TB,0,1
2020,20200807,LAA,TEX,3,4
2020,20200808,SF,LAD,5,4
2020,20200808,CIN,MIL,4,1
2020,20200808,MIA,NYM,4,8
2020,20200808,ATL,PHI,0,5
2020,20200808,DET,PIT,11,5
2020,20200808,ARI,SD,3,2
2020,20200808,BAL,WSH,5,3
2020,20200808,TOR,BOS,2,1
2020,20200808,CLE,CWS,7,1
2020,20200808,MIN,KC,6,9
2020,20200808,HOU,OAK,1,3
2020,20200808,COL,SEA,5,0
2020,20200808,NYY,TB,8,4
2020,20200808,NYY,TB,3,5
2020,20200808,LAA,TEX,0,2
2020,20200809,SF,LAD,2,6
2020,20200809,CIN,MIL,3,9
2020,20200809,MIA,NYM,2,4
2020,20200809,ATL,PHI,5,2
2020,20200809,ATL,PHI,8,0
2020,20200809,DET,PIT,2,1
2020,20200809,ARI,SD,5,9
2020,20200809,BAL,WSH,6,2
2020,20200809,TOR,BOS,3,5
2020,20200809,CLE,CWS,5,4
2020,20200809,MIN,KC,2,4
2020,20200809,HOU,OAK,2,7
2020,20200809,COL,SEA,3,5
2020,20200809,NYY,TB,3,4
2020,20200809,LAA,TEX,3,7
2020,20200810,ARI,COL,12,8
2020,20200810,SD,LAD,2,1
2020,20200810,MIN,MIL,4,2
2020,20200810,WSH,NYM,16,4
2020,20200810,ATL,PHI,8,13
2020,20200810,OAK,LAA,9,10
2020,20200810,TB,BOS,8,7
2020,20200810,CWS,DET,1,5
2020,20200810,SF,HOU,4,6
2020,20200810,SEA,TEX,10,2
2020,20200811,KC,CIN,5,6
2020,20200811,ARI,COL,7,8
2020,20200811,SD,LAD,6,2
2020,20200811,MIN,MIL,4,6
2020,20200811,WSH,NYM,2,1
2020,20200811,BAL,PHI,10,9
2020,20200811,OAK,LAA,0,6
2020,20200811,TB,BOS,8,2
2020,20200811,CHC,CLE,7,1
2020,20200811,CWS,DET,8,4
2020,20200811,SF,HOU,7,6
2020,20200811,ATL,NYY,6,9
2020,20200811,SEA,TEX,2,4
2020,20200811,MIA,TOR,4,5
2020,20200812,KC,CIN,5,4
2020,20200812,ARI,COL,13,7
2020,20200812,SD,LAD,0,6
2020,20200812,MIN,MIL,12,2
2020,20200812,WSH,NYM,6,11
2020,20200812,BAL,PHI,5,4
2020,20200812,OAK,LAA,8,4
2020,20200812,TB,BOS,9,5
2020,20200812,CHC,CLE,7,2
2020,20200812,CWS,DET,7,5
2020,20200812,SF,HOU,1,5
2020,20200812,ATL,NYY,3,6
2020,20200812,SEA,TEX,4,7
2020,20200812,MIA,TOR,14,11
2020,20200813,MIL,CHC,2,4
2020,20200813,PIT,CIN,9,6
2020,20200813,SD,LAD,2,11
2020,20200813,WSH,NYM,2,8
2020,20200813,BAL,PHI,11,4
2020,20200813,TB,BOS,17,8
2020,20200814,SD,ARI,1,5
2020,20200814,MIL,CHC,4,3
2020,20200814,PIT,CIN,1,8
2020,20200814,TEX,COL,3,2
2020,20200814,ATL,MIA,2,8
2020,20200814,NYM,PHI,5,6
2020,20200814,OAK,SF,8,7
2020,20200814,LAD,LAA,7,4
2020,20200814,WSH,BAL,15,3
2020,20200814,CLE,DET,10,5
2020,20200814,SEA,HOU,1,11
2020,20200814,BOS,NYY,3,10
2020,20200814,TB,TOR,4,12
2020,20200815,SD,ARI,6,7
2020,20200815,MIL,CHC,6,5
2020,20200815,TEX,COL,6,4
2020,20200815,ATL,MIA,2,1
2020,20200815,NYM,PHI,2,6
2020,20200815,OAK,SF,7,6
2020,20200815,LAD,LAA,6,5
2020,20200815,WSH,BAL,3,7
2020,20200815,STL,CWS,5,1
2020,20200815,STL,CWS,6,3
2020,20200815,CLE,DET,3,1
2020,20200815,SEA,HOU,1,2
2020,20200815,KC,MIN,2,4
2020,20200815,KC,MIN,4,2
2020,20200815,BOS,NYY,5,11
2020,20200815,TB,TOR,3,2
2020,20200816,SD,ARI,4,5
2020,20200816,MIL,CHC,6,5
2020,20200816,TEX,COL,6,10
2020,20200816,ATL,MIA,4,0
2020,20200816,NYM,PHI,2,6
2020,20200816,OAK,SF,15,3
2020,20200816,LAD,LAA,8,3
2020,20200816,WSH,BAL,6,5
2020,20200816,STL,CWS,2,7
2020,20200816,CLE,DET,8,5
2020,20200816,SEA,HOU,2,3
2020,20200816,KC,MIN,2,4
2020,20200816,BOS,NYY,2,4
2020,20200816,TB,TOR,7,5
2020,20200817,OAK,ARI,3,4
2020,20200817,WSH,ATL,6,7
2020,20200817,STL,CHC,3,1
2020,20200817,STL,CHC,4,5
2020,20200817,SEA,LAD,9,11
2020,20200817,NYM,MIA,11,4
2020,20200817,SF,LAA,6,7
2020,20200817,TOR,BAL,7,2
2020,20200817,DET,CWS,2,7
2020,20200817,COL,HOU,1,2
2020,20200817,KC,MIN,1,4
2020,20200817,BOS,NYY,3,6
2020,20200817,SD,TEX,14,4
2020,20200818,OAK,ARI,1,10
2020,20200818,WSH,ATL,8,5
2020,20200818,STL,CHC,3,6
2020,20200818,SEA,LAD,1,2
2020,20200818,NYM,MIA,8,3
2020,20200818,CLE,PIT,6,3
2020,20200818,SF,LAA,8,2
2020,20200818,TOR,BAL,8,7
2020,20200818,PHI,BOS,13,6
2020,20200818,DET,CWS,4,10
2020,20200818,COL,HOU,1,2
2020,20200818,MIL,MIN,3,4
2020,20200818,TB,NYY,6,3
2020,20200818,SD,TEX,6,4
2020,20200819,STL,CHC,9,3
2020,20200819,STL,CHC,2,4
2020,20200819,HOU,COL,13,6
2020,20200819,NYM,MIA,5,3
2020,20200819,CLE,PIT,6,1
2020,20200819,TEX,SD,3,6
2020,20200819,LAA,SF,2,7
2020,20200819,TOR,BAL,5,2
2020,20200819,PHI,BOS,3,6
2020,20200819,DET,CWS,3,5
2020,20200819,CIN,KC,0,4
2020,20200819,CIN,KC,5,0
2020,20200819,MIL,MIN,9,3
2020,20200819,TB,NYY,4,2
2020,20200819,ARI,OAK,1,4
2020,20200819,LAD,SEA,4,6
2020,20200820,HOU,COL,10,8
2020,20200820,CLE,PIT,2,0
2020,20200820,TEX,SD,7,8
2020,20200820,LAA,SF,5,10
2020,20200820,CIN,STL,4,5
2020,20200820,BOS,BAL,7,1
2020,20200820,DET,CWS,0,9
2020,20200820,MIL,MIN,1,7
2020,20200820,TB,NYY,10,5
2020,20200820,ARI,OAK,1,5
2020,20200820,LAD,SEA,6,1
2020,20200820,PHI,TOR,2,3
2020,20200820,PHI,TOR,8,9
2020,20200821,PHI,ATL,2,11
2020,20200821,CWS,CHC,10,1
2020,20200821,COL,LAD,1,5
2020,20200821,MIL,PIT,2,7
2020,20200821,HOU,SD,3,4
2020,20200821,ARI,SF,2,6
2020,20200821,CIN,STL,4,2
2020,20200821,MIA,WSH,3,2
2020,20200821,BOS,BAL,8,5
2020,20200821,DET,CLE,10,5
2020,20200821,MIN,KC,2,7
2020,20200821,LAA,OAK,3,5
2020,20200821,TEX,SEA,4,7
2020,20200821,TOR,TB,6,5
2020,20200822,PHI,ATL,5,6
2020,20200822,CWS,CHC,7,4
2020,20200822,COL,LAD,3,4
2020,20200822,MIL,PIT,5,12
2020,20200822,HOU,SD,2,13
2020,20200822,ARI,SF,1,5
2020,20200822,CIN,STL,0,3
2020,20200822,MIA,WSH,4,5
2020,20200822,MIA,WSH,5,3
2020,20200822,BOS,BAL,4,5
2020,20200822,DET,CLE,1,6
2020,20200822,MIN,KC,7,2
2020,20200822,LAA,OAK,4,3
2020,20200822,TEX,SEA,1,10
2020,20200822,TOR,TB,1,2
2020,20200823,PHI,ATL,5,4
2020,20200823,CWS,CHC,1,2
2020,20200823,COL,LAD,3,11
2020,20200823,MIL,PIT,4,5
2020,20200823,HOU,SD,3,5
2020,20200823,ARI,SF,1,6
2020,20200823,CIN,STL,2,6
2020,20200823,MIA,WSH,3,9
2020,20200823,BOS,BAL,4,5
2020,20200823,DET,CLE,7,4
2020,20200823,MIN,KC,5,4
2020,20200823,LAA,OAK,4,5
2020,20200823,TEX,SEA,1,4
2020,20200823,TOR,TB,4,5
2020,20200824,COL,ARI,3,2
2020,20200824,CIN,MIL,2,4
2020,20200824,KC,STL,3,9
2020,20200824,MIA,WSH,11,8
2020,20200824,MIN,CLE,3,2
2020,20200824,CHC,DET,9,3
2020,20200824,LAA,HOU,4,11
2020,20200824,TOR,TB,6,4
2020,20200824,OAK,TEX,2,3
2020,20200825,COL,ARI,5,4
2020,20200825,CIN,MIL,2,3
2020,20200825,MIA,NYM,4,0
2020,20200825,MIA,NYM,3,0
2020,20200825,SEA,SD,8,3
2020,20200825,LAD,SF,8,10
2020,20200825,KC,STL,5,4
2020,20200825,PHI,WSH,8,3
2020,20200825,PIT,CWS,0,4
2020,20200825,MIN,CLE,2,4
2020,20200825,CHC,DET,1,7
2020,20200825,LAA,HOU,3,6
2020,20200825,LAA,HOU,12,5
2020,20200825,BAL,TB,2,4
2020,20200825,OAK,TEX,10,3
2020,20200825,BOS,TOR,9,7
2020,20200826,COL,ARI,8,7
2020,20200826,NYY,ATL,1,5
2020,20200826,NYY,ATL,1,2
2020,20200826,MIA,NYM,4,5
2020,20200826,KC,STL,5,6
2020,20200826,PHI,WSH,3,2
2020,20200826,PIT,CWS,3,10
2020,20200826,MIN,CLE,3,6
2020,20200826,CHC,DET,6,7
2020,20200826,BAL,TB,3,4
2020,20200826,OAK,TEX,3,1
2020,20200826,BOS,TOR,1,9
2020,20200827,CIN,MIL,6,1
2020,20200827,CIN,MIL,6,0
2020,20200827,SEA,SD,7,10
2020,20200827,SEA,SD,8,3
2020,20200827,LAD,SF,7,0
2020,20200827,LAD,SF,2,0
2020,20200827,PIT,STL,4,3
2020,20200827,PIT,STL,2,0
2020,20200828,SF,ARI,4,7
2020,20200828,CHC,CIN,5,6
2020,20200828,SD,COL,10,4
2020,20200828,TB,MIA,2,0
2020,20200828,PIT,MIL,1,9
2020,20200828,ATL,PHI,4,7
2020,20200828,CLE,STL,14,2
2020,20200828,SEA,LAA,2,3
2020,20200828,WSH,BOS,10,2
2020,20200828,KC,CWS,5,6
2020,20200828,NYM,NYY,6,4
2020,20200828,NYM,NYY,4,3
2020,20200828,LAD,TEX,2,6
2020,20200828,BAL,TOR,4,5
2020,20200829,SF,ARI,5,2
2020,20200829,CHC,CIN,3,0
2020,20200829,CHC,CIN,5,6
2020,20200829,SD,COL,3,4
2020,20200829,TB,MIA,4,0
2020,20200829,PIT,MIL,6,7
2020,20200829,ATL,PHI,1,4
2020,20200829,CLE,STL,2,1
2020,20200829,SEA,LAA,3,16
2020,20200829,WSH,BOS,3,5
2020,20200829,KC,CWS,9,6
2020,20200829,MIN,DET,2,8
2020,20200829,MIN,DET,2,4
2020,20200829,OAK,HOU,2,4
2020,20200829,OAK,HOU,3,6
2020,20200829,NYM,NYY,1,2
2020,20200829,LAD,TEX,7,4
2020,20200829,BAL,TOR,0,5
2020,20200830,SF,ARI,4,1
2020,20200830,CHC,CIN,10,1
2020,20200830,SD,COL,13,2
2020,20200830,TB,MIA,12,7
2020,20200830,PIT,MIL,5,1
2020,20200830,ATL,PHI,12,10
2020,20200830,CLE,STL,2,7
2020,20200830,SEA,LAA,2,1
2020,20200830,WSH,BOS,5,9
2020,20200830,KC,CWS,2,5
2020,20200830,MIN,DET,2,3
2020,20200830,NYM,NYY,7,8
2020,20200830,NYM,NYY,2,5
2020,20200830,LAD,TEX,7,2
2020,20200830,BAL,TOR,5,6
2020,20200831,STL,CIN,7,5
2020,20200831,SD,COL,6,0
2020,20200831,PIT,MIL,5,6
2020,20200831,MIA,NYM,5,3
2020,20200831,WSH,PHI,6,8
2020,20200831,SEA,LAA,2,1
2020,20200831,ATL,BOS,6,3
2020,20200831,CLE,KC,1,2
2020,20200831,CWS,MIN,8,5
2020,20200831,TB,NYY,5,3
2020,20200831,BAL,TOR,4,3
2020,20200901,STL,CIN,16,2
2020,20200901,SF,COL,23,5
2020,20200901,ARI,LAD,3,6
2020,20200901,TOR,MIA,2,3
2020,20200901,DET,MIL,12,1
2020,20200901,WSH,PHI,0,6
2020,20200901,CHC,PIT,8,7
2020,20200901,NYM,BAL,5,9
2020,20200901,ATL,BOS,10,3
2020,20200901,TEX,HOU,6,5
2020,20200901,CLE,KC,10,1
2020,20200901,CWS,MIN,2,3
2020,20200901,TB,NYY,3,5
2020,20200902,STL,CIN,3,4
2020,20200902,SF,COL,6,9
2020,20200902,ARI,LAD,2,3
2020,20200902,TOR,MIA,2,1
2020,20200902,DET,MIL,5,8
2020,20200902,WSH,PHI,0,3
2020,20200902,CHC,PIT,8,2
2020,20200902,SD,LAA,11,4
2020,20200902,NYM,BAL,9,4
2020,20200902,ATL,BOS,7,5
2020,20200902,TEX,HOU,1,2
2020,20200902,CLE,KC,5,0
2020,20200902,CWS,MIN,1,8
2020,20200902,TB,NYY,5,2
2020,20200903,ARI,LAD,1,5
2020,20200903,NYY,NYM,7,9
2020,20200903,WSH,PHI,5,6
2020,20200903,CHC,PIT,2,6
2020,20200903,SD,LAA,0,2
2020,20200903,TOR,BOS,6,2
2020,20200903,TEX,HOU,4,8
2020,20200903,CWS,KC,11,6
2020,20200904,WSH,ATL,1,7
2020,20200904,WSH,ATL,10,9
2020,20200904,STL,CHC,1,4
2020,20200904,COL,LAD,6,10
2020,20200904,PHI,NYM,5,3
2020,20200904,CIN,PIT,4,2
2020,20200904,CIN,PIT,3,4
2020,20200904,ARI,SF,6,5
2020,20200904,HOU,LAA,5,6
2020,20200904,NYY,BAL,6,5
2020,20200904,NYY,BAL,3,6
2020,20200904,TOR,BOS,8,7
2020,20200904,TOR,BOS,2,3
2020,20200904,MIL,CLE,7,1
2020,20200904,CWS,KC,7,4
2020,20200904,DET,MIN,0,2
2020,20200904,DET,MIN,2,3
2020,20200904,SD,OAK,7,0
2020,20200904,TEX,SEA,3,6
2020,20200904,MIA,TB,4,5
2020,20200905,WSH,ATL,10,4
2020,20200905,STL,CHC,4,2
2020,20200905,STL,CHC,5,1
2020,20200905,COL,LAD,5,2
2020,20200905,PHI,NYM,1,5
2020,20200905,CIN,PIT,6,2
